Tool Name,Category,Description,Source Link
BLAST,Sequence Alignment,Tool for comparing an input sequence with a database to find similarities.,https://blast.ncbi.nlm.nih.gov/
GATK,Variant Calling,Toolkit for variant discovery in high-throughput sequencing data.,https://gatk.broadinstitute.org/
Bioconductor,Statistical Analysis,R-based software for analyzing genomic data.,https://bioconductor.org/
IGV,Genome Visualization,Visualization tool for interactive exploration of large genomic datasets.,https://software.broadinstitute.org/software/igv/
Galaxy,Workflow Platform,Web-based platform for data-intensive biomedical research.,https://usegalaxy.org/
FastQC,Quality Control,Tool for checking the quality of raw sequence data from high-throughput sequencing pipelines.,https://www.bioinformatics.babraham.ac.uk/projects/fastqc/
BWA,Read Alignment,Aligner for mapping low-divergent sequences against a large reference genome.,http://bio-bwa.sourceforge.net/
SAMtools,File Handling,Tools for manipulating alignments in the SAM format.,http://www.htslib.org/
Bowtie,Read Alignment,"Ultrafast, memory-efficient short read aligner.",http://bowtie-bio.sourceforge.net/index.shtml
HISAT2,Read Alignment,Spliced aligner for RNA-seq reads.,https://daehwankimlab.github.io/hisat2/
